R2,58.71,-1.92,180.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,120.79,24.24,0.00,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,160.01,-20.82,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,88.92,37.00,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB,155.84,34.36,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_USB1,148.91,27.98,90.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,57.19,2.32,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,60.27,2.52,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,39.73,17.12,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,36.05,4.52,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,32.17,4.92,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,29.59,4.52,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,52.01,11.32,0.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,23.93,85.13,0.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,53.62,83.88,90.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,79.90,18.65,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,69.14,83.40,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,55.27,15.54,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,28.80,84.80,270.00,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,162.74,-14.41,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,54.44,-8.60,180.00,,SJ
TP1,79.31,70.70,0.00,TPTP20R,TP20R
TP10,14.04,84.12,0.00,TPTP20R,TP20R
TP11,6.99,4.10,0.00,TPTP20R,TP20R
TP12,51.39,41.92,0.00,TPTP20R,TP20R
TP13,44.84,41.62,0.00,TPTP20R,TP20R
TP14,144.79,34.92,0.00,TPTP20R,TP20R
TP15,7.04,9.92,0.00,TPTP20R,TP20R
TP16,3.79,84.00,0.00,TPTP20R,TP20R
TP17,7.14,-0.50,0.00,TPTP20R,TP20R
TP2,86.03,70.70,0.00,TPTP20R,TP20R
TP3,144.45,39.90,0.00,TPTP20R,TP20R
TP4,72.87,71.40,0.00,TPTP20R,TP20R
TP5,9.09,84.40,0.00,TPTP20R,TP20R
TP6,23.01,69.00,0.00,TPTP20R,TP20R
TP7,23.33,63.60,0.00,TPTP20R,TP20R
TP8,23.25,57.50,0.00,TPTP20R,TP20R
TP9,59.77,41.20,0.00,TPTP20R,TP20R
U1,38.83,27.76,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,16.20,27.84,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,80.59,26.90,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,140.80,26.60,0.00,MAX17048G+T10,SON50P200X200X80-9N
